"absence_id","student_id","absence_type","school_id","date"
"53","AS2HNGNL","tardy","chs","2024-08-26"
"54","HmGHHf7M","tardy","chs","2024-08-26"
"55","6Mj9Yt1g","religious","ajh","2024-08-26"
"56","lYTeUGK0","medical","chs","2024-08-26"
"57","En7wrImv","tardy","ajh","2024-08-26"
"58","mQghlUBU","tardy","chs","2024-08-26"
"59","QXMmHCs6","tardy","chs","2024-08-26"
"60","MQPvz7Yc","tardy","chs","2024-08-26"
"61","JcCisBKY","unknown","chs","2024-08-26"
"62","ji4K67Vx","tardy","ajh","2024-08-26"
"63","2lM4qNzL","tardy","chs","2024-08-26"
"64","LpYpoG6M","family","chs","2024-08-26"
"65","TzsRM4IU","tardy","ajh","2024-08-26"
"66","ceh7Zuhr","personal","ajh","2024-08-26"
"67","dOpE1ADr","suspension","chs","2024-08-26"
"68","pR65CYtk","unknown","chs","2024-08-26"
"69","aRn5LZ8B","medical","bjh","2024-08-26"
"70","qyaesgGM","family","chs","2024-08-26"
"71","QWNT4jEy","medical","dhs","2024-08-26"
"72","kcRX6zq6","tardy","bjh","2024-08-26"
"73","mM5Ry08G","tardy","chs","2024-08-26"
"74","tP1X3crH","medical","chs","2024-08-26"
"75","TvAHcawy","unknown","ajh","2024-08-26"
"76","YGlEUHMx","unknown","ajh","2024-08-26"
"77","AHsGYg80","tardy","bjh","2024-08-26"
"78","yROFvmvs","tardy","ajh","2024-08-26"
"79","D5pXZJmK","unknown","chs","2024-08-26"
"80","rvMfm7US","tardy","chs","2024-08-26"
"81","nPazXkSa","medical","chs","2024-08-26"
"82","u74NZhYB","tardy","dhs","2024-08-26"
"83","TbHdLhCZ","tardy","chs","2024-08-26"
"84","pj1SomQr","tardy","bjh","2024-08-26"
"85","N8FWWFqe","tardy","chs","2024-08-26"
"86","RjOH4ucU","tardy","chs","2024-08-26"
"87","zcgjFKZW","unknown","ajh","2024-08-26"
"88","JjovvEiv","unknown","chs","2024-08-26"
"89","FNjEAh5A","tardy","chs","2024-08-26"
"90","Iy7gXYnP","unknown","bjh","2024-08-26"
"91","PBvUey4z","tardy","ajh","2024-08-26"
"92","qcVdMgYt","tardy","chs","2024-08-26"
"93","80HT6ht0","tardy","chs","2024-08-26"
"94","7TXzs146","tardy","ajh","2024-08-26"
"95","kP7XbSD4","tardy","ajh","2024-08-26"
"96","DYYSiEQ1","tardy","chs","2024-08-26"
"97","k7P1EBcu","unknown","chs","2024-08-26"
"98","lfFxdWmd","unknown","ajh","2024-08-26"
"99","cZsUeBim","personal","chs","2024-08-26"
"100","prIDI5J3","tardy","dhs","2024-08-26"
"101","E95Ou4V5","tardy","ajh","2024-08-26"
"102","PAxtx6gu","tardy","chs","2024-08-26"
"103","CsnRFCRz","tardy","ajh","2024-08-26"
"104","dSLAxzgd","family","chs","2024-08-26"
"105","VzMo4HQr","tardy","chs","2024-08-26"
"106","2U0iX4f2","medical","ajh","2024-08-26"
"107","H66vp3h3","unknown","ajh","2024-08-26"
"108","l6Zr5Rgy","personal","chs","2024-08-26"
"109","1s78mp7r","tardy","ajh","2024-08-26"
"110","G619hxRw","personal","chs","2024-08-26"
"111","blKOzpha","tardy","chs","2024-08-26"
"112","ZMrIFOSM","unknown","ajh","2024-08-26"
"113","grMrhgDg","tardy","bjh","2024-08-26"
"114","KwK7eTE0","unknown","ajh","2024-08-26"
"115","YbqTaJRJ","family","chs","2024-08-26"
"116","aPX5hMAw","tardy","chs","2024-08-26"
"117","VCyNetso","tardy","chs","2024-08-26"
"118","2HKZilDD","tardy","chs","2024-08-26"
"119","iB50Po9n","tardy","chs","2024-08-26"
"120","E6LJSIwB","tardy","bjh","2024-08-26"
"121","9rttMdn6","tardy","chs","2024-08-26"
"122","Apd3AKvw","unknown","chs","2024-08-26"
"123","YNFnL4I1","personal","chs","2024-08-26"
"124","5BF3AV4F","unknown","ajh","2024-08-26"
"125","e6ybDsHu","tardy","chs","2024-08-26"
"126","gS6kKIhD","tardy","chs","2024-08-26"
"127","bgWJVhyL","tardy","chs","2024-08-26"
"128","UFD8pUFD","tardy","bjh","2024-08-26"
"129","jgMf5AXk","tardy","ajh","2024-08-26"
"130","0mUyJLsS","tardy","ajh","2024-08-26"
"131","GqBA5bcP","religious","chs","2024-08-26"
"132","J9l0WIdA","medical","ajh","2024-08-26"
"133","OdF1VBPv","tardy","chs","2024-08-26"
"134","V7oWZURQ","tardy","chs","2024-08-26"
"135","C1H6QRZU","suspension","chs","2024-08-26"
"136","3ArBpGiV","tardy","chs","2024-08-26"
"137","goxYZEbE","personal","chs","2024-08-26"
"138","MCE66zHl","tardy","ajh","2024-08-26"
"139","437rWZHY","unknown","chs","2024-08-26"
"140","PwJkxRU1","tardy","ajh","2024-08-26"
"141","sKMv5zZr","religious","chs","2024-08-27"
"142","yWNh9XhU","tardy","chs","2024-08-27"
"143","7cYzzjsn","tardy","dhs","2024-08-27"
"144","ZQVBneKw","unknown","chs","2024-08-27"
"145","yosSUhCA","tardy","chs","2024-08-27"
"146","8S06ToAt","religious","chs","2024-08-27"
"147","4l8vwf8s","tardy","chs","2024-08-27"
"148","4r3qhX32","unknown","chs","2024-08-27"
"149","4UGe9Gk1","religious","bjh","2024-08-27"
"150","a0ckE6bm","tardy","ajh","2024-08-27"
"151","YeKVIrHf","personal","chs","2024-08-27"
"152","HGFgGfis","tardy","chs","2024-08-27"
"153","1qDJoqKa","tardy","bjh","2024-08-27"
"154","X9OdkXVh","tardy","chs","2024-08-27"
"155","HRyweORC","tardy","chs","2024-08-27"
"156","PJpoIX1S","suspension","chs","2024-08-27"
"157","nNLZCssl","tardy","ajh","2024-08-27"
"158","tgCAxmjn","unknown","ajh","2024-08-27"
"159","5Dv0kCAf","tardy","chs","2024-08-27"
"160","8OoV1XTh","tardy","dhs","2024-08-27"
"161","9dQcKxSt","tardy","ajh","2024-08-27"
"162","KNrB17ZJ","unknown","ajh","2024-08-27"
"163","PyEg7GNf","unknown","chs","2024-08-27"
"164","dcyOoPnG","family","ajh","2024-08-27"
"165","uWyIjgWS","tardy","chs","2024-08-27"
"166","s4DlBM6y","tardy","chs","2024-08-27"
"167","65bnEfg1","tardy","chs","2024-08-27"
"168","rUEFxFxk","tardy","ajh","2024-08-27"
"169","t1bkMrKO","religious","ajh","2024-08-27"
"170","j5rHviK9","tardy","chs","2024-08-27"
"171","XlIoP7Md","medical","chs","2024-08-27"
"172","AiPY02ZA","tardy","chs","2024-08-27"
"173","dJuYHv6I","unknown","chs","2024-08-27"
"174","DDRP05EF","medical","ajh","2024-08-27"
"175","cUX36VAe","religious","chs","2024-08-27"
"176","gqco1yIs","tardy","dhs","2024-08-27"
"177","vJwoWE7C","unknown","chs","2024-08-27"
"178","wxBLwoKJ","tardy","chs","2024-08-27"
"179","1V0zDafO","unknown","chs","2024-08-27"
"180","WR028Si1","tardy","bjh","2024-08-27"
"181","kBfV0PUM","tardy","bjh","2024-08-27"
"182","8PSuRE6a","unknown","chs","2024-08-27"
"183","eEtJ2lvW","tardy","chs","2024-08-27"
"184","DcvMnD3o","unknown","ajh","2024-08-27"
"185","m5nnEeGY","tardy","ajh","2024-08-27"
"186","qAgkaSRp","tardy","chs","2024-08-27"
"187","MuJGv8DP","family","chs","2024-08-27"
"188","zHCyQdu0","family","chs","2024-08-27"
"189","7L0cIMDO","unknown","bjh","2024-08-27"
"190","wNO2XQXY","tardy","chs","2024-08-27"
"191","aIcSHJi6","tardy","bjh","2024-08-27"
"192","7NkuB6op","tardy","chs","2024-08-27"
"193","oFS9djP6","unknown","chs","2024-08-27"
"194","OoMb80oN","unknown","chs","2024-08-27"
"195","B1FTOigQ","unknown","chs","2024-08-27"
"196","YYMpwIJd","religious","chs","2024-08-27"
"197","O6zHg1mH","tardy","chs","2024-08-27"
"198","HmGHHf7M","tardy","chs","2024-08-27"
"199","lKXUXw1B","tardy","chs","2024-08-27"
"200","PgLDZhZo","tardy","ajh","2024-08-27"
"201","6W0kBz6w","tardy","chs","2024-08-27"
"202","En7wrImv","tardy","ajh","2024-08-27"
"203","fhU7wnqy","suspension","chs","2024-08-27"
"204","pDW4AuKI","tardy","chs","2024-08-27"
"205","G7GZ7jYP","family","chs","2024-08-27"
"206","mQghlUBU","tardy","chs","2024-08-27"
"207","QXMmHCs6","tardy","chs","2024-08-27"
"208","MQPvz7Yc","tardy","chs","2024-08-27"
"209","ji4K67Vx","tardy","ajh","2024-08-27"
"210","2lM4qNzL","tardy","chs","2024-08-27"
"211","D1CcRoIt","tardy","chs","2024-08-27"
"212","8SgBW5dn","tardy","chs","2024-08-27"
"213","sQPJTNXm","tardy","ajh","2024-08-27"
"214","dwCmwWW6","tardy","chs","2024-08-27"
"215","aRn5LZ8B","medical","bjh","2024-08-27"
"216","2ehwoNlh","medical","chs","2024-08-27"
"217","NKA8DoHK","tardy","bjh","2024-08-27"
"218","d8RWZCAL","tardy","chs","2024-08-27"
"219","MD0buVBI","personal","ajh","2024-08-27"
"220","qjUjro1a","tardy","bjh","2024-08-27"
"221","kcRX6zq6","tardy","bjh","2024-08-27"
"222","sweI5l9A","tardy","dhs","2024-08-27"
"223","p1X0g9MB","tardy","ajh","2024-08-27"
"224","Zxib9MvV","unknown","chs","2024-08-27"
"225","tP1X3crH","medical","chs","2024-08-27"
"226","QAwEIQDG","tardy","bjh","2024-08-27"
"227","yROFvmvs","tardy","ajh","2024-08-27"
"228","PW2fEnzx","tardy","chs","2024-08-27"
"229","ajBP8Njw","unknown","chs","2024-08-27"
"230","u74NZhYB","tardy","dhs","2024-08-27"
"231","TbHdLhCZ","tardy","chs","2024-08-27"
"232","1d1hyJXF","tardy","bjh","2024-08-27"
"233","uVjCZSK3","family","chs","2024-08-27"
"234","jckMkDtd","medical","chs","2024-08-27"
"235","gB09viRo","tardy","ajh","2024-08-27"
"236","f0hI2joM","religious","chs","2024-08-27"
"237","FNjEAh5A","tardy","chs","2024-08-27"
"238","Iy7gXYnP","unknown","bjh","2024-08-27"
"239","W6DKpltA","unknown","chs","2024-08-27"
"240","80HT6ht0","tardy","chs","2024-08-27"
"241","0TONeP8z","tardy","ajh","2024-08-27"
"242","U9VNxnoV","tardy","chs","2024-08-27"
"243","kP7XbSD4","tardy","ajh","2024-08-27"
"244","DYYSiEQ1","tardy","chs","2024-08-27"
"245","k7P1EBcu","unknown","chs","2024-08-27"
"246","dlQcAgMv","personal","chs","2024-08-27"
"247","H6QHmyRc","tardy","chs","2024-08-27"
"248","SiUmCL8t","religious","chs","2024-08-27"
"249","prIDI5J3","tardy","dhs","2024-08-27"
"250","bIjwXXcg","tardy","chs","2024-08-27"
"251","PddQ3DbR","tardy","bjh","2024-08-27"
"252","cBnbKDIe","religious","chs","2024-08-27"
"253","qH4zXD1L","tardy","ajh","2024-08-27"
"254","wBMCieQB","religious","ajh","2024-08-27"
"255","TgZrNri8","tardy","chs","2024-08-27"
"256","berVbRMN","unknown","chs","2024-08-27"
"257","inkbtpfL","tardy","chs","2024-08-27"
"258","H66vp3h3","unknown","ajh","2024-08-27"
"259","cpajiIv7","unknown","chs","2024-08-27"
"260","l6Zr5Rgy","personal","chs","2024-08-27"
"261","1s78mp7r","tardy","ajh","2024-08-27"
"262","3AUih5TK","tardy","chs","2024-08-27"
"263","2Ry7yR4t","tardy","chs","2024-08-27"
"264","VgXeN6mw","unknown","chs","2024-08-27"
"265","VyQ0kXCr","tardy","chs","2024-08-27"
"266","G619hxRw","personal","chs","2024-08-27"
"267","2hvPcki3","family","chs","2024-08-27"
"268","rYbr9zMZ","tardy","chs","2024-08-27"
"269","ZMrIFOSM","unknown","ajh","2024-08-27"
"270","M3P8Ppdw","unknown","chs","2024-08-27"
"271","grMrhgDg","tardy","bjh","2024-08-27"
"272","zEJLwwec","tardy","dhs","2024-08-27"
"273","e3Nn4qzw","tardy","ajh","2024-08-27"
"274","tXEOSUQj","medical","chs","2024-08-27"
"275","95k2gCbP","tardy","chs","2024-08-27"
"276","I3ypa04r","tardy","dhs","2024-08-27"
"277","KRP3bWS4","tardy","dhs","2024-08-27"
"278","cdv1yJJ9","tardy","chs","2024-08-27"
"279","HWKmHGyA","tardy","dhs","2024-08-27"
"280","Apd3AKvw","unknown","chs","2024-08-27"
"281","pKdXeXo0","tardy","bjh","2024-08-27"
"282","FPZZgcT5","unknown","chs","2024-08-27"
"283","YNFnL4I1","personal","chs","2024-08-27"
"284","5BF3AV4F","unknown","ajh","2024-08-27"
"285","aB8OaBHL","tardy","chs","2024-08-27"
"286","GqBA5bcP","religious","chs","2024-08-27"
"287","OdF1VBPv","tardy","chs","2024-08-27"
"288","wlfevz7K","medical","chs","2024-08-27"
"289","ZpaJHqfg","unknown","ajh","2024-08-27"
"290","Lav4WdLr","medical","chs","2024-08-27"
"291","9tk10n68","tardy","chs","2024-08-27"
"292","NmE6zd3K","unknown","ajh","2024-08-27"
"293","wxBnub9D","unknown","chs","2024-08-27"
"294","xvV85n0g","medical","chs","2024-08-27"
"295","TQ20xLSB","unknown","chs","2024-08-27"
"296","xefvV8nb","tardy","ajh","2024-08-27"
"297","uTN8YzzW","family","chs","2024-08-27"
"298","3ArBpGiV","tardy","chs","2024-08-27"
"299","wZKXVk8l","medical","chs","2024-08-27"
"300","G8pNOB1c","tardy","dhs","2024-08-27"
"301","qg78mwWI","tardy","ajh","2024-08-27"
"302","rUnbFLIy","unknown","chs","2024-08-27"
"303","PwJkxRU1","tardy","ajh","2024-08-27"
"304","OvyZQdfn","tardy","chs","2024-08-27"
"305","lLIZgoVZ","tardy","chs","2024-08-28"
"306","7cYzzjsn","tardy","dhs","2024-08-28"
"307","4j2blr4M","suspension","ajh","2024-08-28"
"308","yosSUhCA","tardy","chs","2024-08-28"
"309","kweRuXs4","tardy","chs","2024-08-28"
"310","KzdzvwbS","tardy","chs","2024-08-28"
"311","u3AoVIsU","tardy","chs","2024-08-28"
"312","Iw98FuUk","tardy","chs","2024-08-28"
"313","hBWZviUp","unknown","chs","2024-08-28"
"314","JufNtwCQ","tardy","chs","2024-08-28"
"315","CJfRgFdK","tardy","chs","2024-08-28"
"316","M4nNFWGO","tardy","chs","2024-08-28"
"317","2u13OFJA","unknown","chs","2024-08-28"
"318","7CYBKV30","tardy","ajh","2024-08-28"
"319","IPtetEqy","tardy","chs","2024-08-28"
"320","P4s3fbwy","tardy","ajh","2024-08-28"
"321","X9OdkXVh","tardy","chs","2024-08-28"
"322","5sOXOqIs","tardy","chs","2024-08-28"
"323","zhnkVyRJ","personal","chs","2024-08-28"
"324","TL8Idhug","religious","chs","2024-08-28"
"325","cIzC8hZA","unknown","chs","2024-08-28"
"326","A1icxNNt","tardy","chs","2024-08-28"
"327","nNLZCssl","tardy","ajh","2024-08-28"
"328","AGCQ4YVJ","unknown","chs","2024-08-28"
"329","IFChsI4Q","tardy","chs","2024-08-28"
"330","9TWtv6TB","tardy","chs","2024-08-28"
"331","9FMbMMeZ","unknown","chs","2024-08-28"
"332","KNrB17ZJ","unknown","ajh","2024-08-28"
"333","EnXd89fF","tardy","dhs","2024-08-28"
"334","t1bkMrKO","religious","ajh","2024-08-28"
"335","GlMBeQrZ","family","ajh","2024-08-28"
"336","YKY0YTZz","tardy","dhs","2024-08-28"
"337","dMY8UKoW","family","chs","2024-08-28"
"338","lSgJNeb9","tardy","ajh","2024-08-28"
"339","dJuYHv6I","unknown","chs","2024-08-28"
"340","Hb0KwEmI","religious","ajh","2024-08-28"
"341","UDzGIwRZ","tardy","ajh","2024-08-28"
"342","USbg2f7K","tardy","chs","2024-08-28"
"343","aBH4Ffb6","personal","chs","2024-08-28"
"344","hn0W7EVT","tardy","ajh","2024-08-28"
"345","cUX36VAe","religious","chs","2024-08-28"
"346","OJGdsFIV","unknown","chs","2024-08-28"
"347","Ik5btBi3","tardy","bjh","2024-08-28"
"348","wrqilIxG","family","ajh","2024-08-28"
"349","2W5qOubM","tardy","bjh","2024-08-28"
"350","VZul9Ich","family","dhs","2024-08-28"
"351","GtMzfidd","tardy","ajh","2024-08-28"
"352","miNBvE6g","tardy","ajh","2024-08-28"
"353","3m9HJWmQ","unknown","ajh","2024-08-28"
"354","gqco1yIs","tardy","dhs","2024-08-28"
"355","vJwoWE7C","unknown","chs","2024-08-28"
"356","0lzCnIZD","tardy","chs","2024-08-28"
"357","mFp3ejDG","unknown","chs","2024-08-28"
"358","1V0zDafO","unknown","chs","2024-08-28"
"359","mPlYcHrU","tardy","chs","2024-08-28"
"360","cd2vScn6","medical","chs","2024-08-28"
"361","l4TUwiWc","tardy","bjh","2024-08-28"
"362","hUnkWp29","unknown","ajh","2024-08-28"
"363","lAmkV6zD","tardy","chs","2024-08-28"
"364","k4GqJFlF","tardy","chs","2024-08-28"
"365","7L0cIMDO","unknown","bjh","2024-08-28"
"366","DDsDy7Lr","tardy","chs","2024-08-28"
"367","5kT9QNrd","tardy","ajh","2024-08-28"
"368","65DWEqee","tardy","chs","2024-08-28"
"369","VrvCrDiX","unknown","chs","2024-08-28"
"370","RThxVtnp","family","chs","2024-08-28"
"371","T74PWg8s","tardy","chs","2024-08-28"
"372","oFS9djP6","unknown","chs","2024-08-28"
"373","YYMpwIJd","religious","chs","2024-08-28"
"374","biC3kYbH","tardy","ajh","2024-08-28"
"375","l5OqoP2t","religious","ajh","2024-08-28"
"376","HmGHHf7M","tardy","chs","2024-08-28"
"377","5OdPENMm","tardy","dhs","2024-08-28"
"378","8ejRSqWJ","tardy","ajh","2024-08-28"
"379","PgLDZhZo","tardy","ajh","2024-08-28"
"380","ZIbpk6P1","tardy","chs","2024-08-28"
"381","En7wrImv","tardy","ajh","2024-08-28"
"382","2EmZfcS8","unknown","ajh","2024-08-28"
"383","AJRcERti","unknown","dhs","2024-08-28"
"384","TzsRM4IU","tardy","ajh","2024-08-28"
"385","aZudEbJc","unknown","ajh","2024-08-28"
"386","sQPJTNXm","tardy","ajh","2024-08-28"
"387","RxNVudzP","tardy","ajh","2024-08-28"
"388","gOGRtY4v","personal","ajh","2024-08-28"
"389","VRrLPWt2","unknown","dhs","2024-08-28"
"390","yDeIX2Y8","family","chs","2024-08-28"
"391","d8RWZCAL","tardy","chs","2024-08-28"
"392","AaYOFOcP","family","ajh","2024-08-28"
"393","Xonc3vpL","tardy","ajh","2024-08-28"
"394","EqFkzGwV","tardy","chs","2024-08-28"
"395","VYVloU2X","family","dhs","2024-08-28"
"396","OjOgfR38","tardy","chs","2024-08-28"
"397","cxm2sFum","tardy","chs","2024-08-28"
"398","xLwJ88xJ","family","chs","2024-08-28"
"399","p1X0g9MB","tardy","ajh","2024-08-28"
"400","w1PpTLis","medical","chs","2024-08-28"
"401","QAwEIQDG","tardy","bjh","2024-08-28"
"402","kvk0Xo3Q","unknown","chs","2024-08-28"
"403","yROFvmvs","tardy","ajh","2024-08-28"
"404","PW2fEnzx","tardy","chs","2024-08-28"
"405","R38X2H1l","tardy","chs","2024-08-28"
"406","TLs4QlDo","tardy","ajh","2024-08-28"
"407","TIG0rzmh","tardy","chs","2024-08-28"
"408","rvMfm7US","family","chs","2024-08-28"
"409","snzDkv12","unknown","ajh","2024-08-28"
"410","ajBP8Njw","unknown","chs","2024-08-28"
"411","GmNGSJRE","tardy","chs","2024-08-28"
"412","KJEsKIq0","tardy","chs","2024-08-28"
"413","84HM9Sug","unknown","chs","2024-08-28"
"414","AZmnSIOe","unknown","ajh","2024-08-28"
"415","gB09viRo","tardy","ajh","2024-08-28"
"416","0ovLz4LD","tardy","ajh","2024-08-28"
"417","ibEptFOG","tardy","chs","2024-08-28"
"418","FNjEAh5A","tardy","chs","2024-08-28"
"419","BSmaf6pR","tardy","chs","2024-08-28"
"420","80HT6ht0","tardy","chs","2024-08-28"
"421","BWOHvjev","unknown","chs","2024-08-28"
"422","U9VNxnoV","tardy","chs","2024-08-28"
"423","eKySgoSW","tardy","bjh","2024-08-28"
"424","kP7XbSD4","tardy","ajh","2024-08-28"
"425","k7P1EBcu","unknown","chs","2024-08-28"
"426","SiUmCL8t","religious","chs","2024-08-28"
"427","ru49pHzU","family","ajh","2024-08-28"
"428","Xm5FN957","medical","ajh","2024-08-28"
"429","wxlCNQb2","family","ajh","2024-08-28"
"430","wBMCieQB","religious","ajh","2024-08-28"
"431","FvMcSpoh","tardy","chs","2024-08-28"
"432","pc7fTl8n","tardy","chs","2024-08-28"
"433","NpSNz7KR","tardy","chs","2024-08-28"
"434","cpajiIv7","unknown","chs","2024-08-28"
"435","VyQ0kXCr","tardy","chs","2024-08-28"
"436","zobNNcmX","unknown","ajh","2024-08-28"
"437","rYbr9zMZ","tardy","chs","2024-08-28"
"438","GlLaQTSs","tardy","ajh","2024-08-28"
"439","rqQRG2rI","religious","chs","2024-08-28"
"440","zTF9l85S","tardy","dhs","2024-08-28"
"441","grMrhgDg","tardy","bjh","2024-08-28"
"442","45lmwslS","tardy","dhs","2024-08-28"
"443","o30NBsoM","personal","chs","2024-08-28"
"444","9l5Ekdtd","tardy","chs","2024-08-28"
"445","95k2gCbP","tardy","chs","2024-08-28"
"446","EdClUJLI","tardy","chs","2024-08-28"
"447","clm8yegf","tardy","chs","2024-08-28"
"448","I3ypa04r","tardy","dhs","2024-08-28"
"449","ZIEJVfS4","unknown","chs","2024-08-28"
"450","HWKmHGyA","tardy","dhs","2024-08-28"
"451","hYTpzepZ","family","dhs","2024-08-28"
"452","hoXrghEF","unknown","chs","2024-08-28"
"453","vECv5Awm","unknown","chs","2024-08-28"
"454","1jH9mDBY","family","ajh","2024-08-28"
"455","yeKuTGZi","tardy","chs","2024-08-28"
"456","awc2AxEa","tardy","ajh","2024-08-28"
"457","8upVPqtb","suspension","chs","2024-08-28"
"458","HsEgrpvi","unknown","bjh","2024-08-28"
"459","ojFagtOl","unknown","chs","2024-08-28"
"460","wS3Njt6q","tardy","chs","2024-08-28"
"461","3tc6EguS","unknown","chs","2024-08-28"
"462","8WCujv6M","religious","ajh","2024-08-28"
"463","XiJhTIya","unknown","chs","2024-08-28"
"464","gytfoNH7","unknown","ajh","2024-08-28"
"465","wlfevz7K","medical","chs","2024-08-28"
"466","iPeHUnop","unknown","ajh","2024-08-28"
"467","wxBnub9D","unknown","chs","2024-08-28"
"468","TQ20xLSB","unknown","chs","2024-08-28"
"469","3LDrr1RC","tardy","chs","2024-08-28"
"470","wZKXVk8l","medical","chs","2024-08-28"
"471","pW8iDRmj","tardy","chs","2024-08-28"
"472","OvyZQdfn","tardy","chs","2024-08-28"
"473","aax3N7sI","personal","chs","2024-08-29"
"474","R4g3qPpe","family","bjh","2024-08-29"
"475","RtRjfPiG","tardy","ajh","2024-08-29"
"476","lLIZgoVZ","tardy","chs","2024-08-29"
"477","4j2blr4M","suspension","ajh","2024-08-29"
"478","QMukgyLC","religious","ajh","2024-08-29"
"479","EbqSWX99","tardy","bjh","2024-08-29"
"480","IBySeYhV","tardy","dhs","2024-08-29"
"481","P4U8U5EC","family","ajh","2024-08-29"
"482","kweRuXs4","tardy","chs","2024-08-29"
"483","KzdzvwbS","tardy","chs","2024-08-29"
"484","mQ4UtxnH","medical","dhs","2024-08-29"
"485","RZ1BU6ZR","unknown","chs","2024-08-29"
"486","PBQJhF0X","unknown","chs","2024-08-29"
"487","2cSivuHx","unknown","ajh","2024-08-29"
"488","Y8jvk8ea","tardy","chs","2024-08-29"
"489","LgrUXFRu","unknown","chs","2024-08-29"
"490","yO27nvnT","unknown","chs","2024-08-29"
"491","AgtqFlHe","tardy","bjh","2024-08-29"
"492","2u13OFJA","unknown","chs","2024-08-29"
"493","aN66AFO9","personal","chs","2024-08-29"
"494","lM3zZVOM","tardy","bjh","2024-08-29"
"495","AlTc1lSM","tardy","ajh","2024-08-29"
"496","DaobblCE","unknown","chs","2024-08-29"
"497","X9OdkXVh","tardy","chs","2024-08-29"
"498","5x74xAWl","medical","chs","2024-08-29"
"499","A1icxNNt","tardy","chs","2024-08-29"
"500","nNLZCssl","tardy","ajh","2024-08-29"
"501","WPIHha7f","unknown","chs","2024-08-29"
"502","IFChsI4Q","tardy","chs","2024-08-29"
"503","n0PjjxaX","tardy","ajh","2024-08-29"
"504","9log33iJ","unknown","chs","2024-08-29"
"505","9TWtv6TB","tardy","chs","2024-08-29"
"506","makeF526","unknown","ajh","2024-08-29"
"507","OdE9Zqmy","tardy","ajh","2024-08-29"
"508","jepjbfeO","unknown","chs","2024-08-29"
"509","scxXAm95","unknown","ajh","2024-08-29"
"510","EnXd89fF","tardy","dhs","2024-08-29"
"511","t1bkMrKO","religious","ajh","2024-08-29"
"512","GlMBeQrZ","family","ajh","2024-08-29"
"513","LQG8pETF","unknown","chs","2024-08-29"
"514","FUNfChUM","tardy","chs","2024-08-29"
"515","IIuRqsDC","family","chs","2024-08-29"
"516","kVlpCMMH","tardy","chs","2024-08-29"
"517","lulDKQp3","suspension","ajh","2024-08-29"
"518","dJuYHv6I","unknown","chs","2024-08-29"
"519","oIIQs2QN","medical","chs","2024-08-29"
