"incident_id","student_id","date_of_event","date_of_action","incident_type","action_taken","school_id","description"
"19","LCQJT9UW","2024-08-27","2024-08-27","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article during a pop quiz. Initially denied accusations, but admitted after evidence was presented. Started crying and apologizing profusely, claiming it was their first time cheating. Insisted they were just ""helping a friend."""
"20","Gf3LYjrr","2024-08-27","2024-08-27","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog.-Requested to be expelled."
"21","4Q9978Xv","2024-08-27","2024-08-27","dress code","detention","ajh","Student was in violation of dress code by wearing flip-flops, ripped jeans, and a tank top with inappropriate slogans during school hours. Despite multiple warnings, student refused to comply with the policy. Detention is required to address the issue and ensure future adherence to the dress code."
"22","8upVPqtb","2024-08-27","2024-08-27","academic dishonesty","suspension","chs","Student caught plagiarizing a research paper. Showed no remorse, even after being confronted with evidence. Suspended for violating academic integrity policy."
"23","IPtetEqy","2024-08-27","2024-08-27","dress code","detention","chs","Student was in violation of dress code for wearing pajama pants to school. Despite multiple warnings, student was defiant and uncooperative. Detention assigned for failure to comply with the school's policy on appropriate attire."
"24","M1DUJ7U1","2024-08-28","2024-08-28","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and a shirt with inappropriate slogan. Despite warnings, student was defiant and argued during confrontation. ISS assigned for continued disrespect."
"25","lulDKQp3","2024-08-28","2024-08-28","academic dishonesty","suspension","ajh","Student was caught using a smartwatch to access answers during a history exam. Despite being reminded of exam rules, student continued cheating. Displayed a nonchalant attitude when confronted. This behavior is a concerning breach of academic integrity."
"26","ub5qQMK4","2024-08-28","2024-08-28","dress code","warning","chs","Student was wearing a neon green hat with flashing lights during school hours. When corrected, they responded with attitude. Warned about inappropriate accessories and disrespectful behavior."
"27","FbR6EVmy","2024-08-28","2024-08-28","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class, despite repeated warnings. Showed defiance when asked to change. Religious head covering worn incorrectly also noted."
"28","nlfjyRZ1","2024-08-28","2024-08-28","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class. Student was defiant, claiming they were ""comfy."" Remind student to follow dress code to avoid further consequences."
"29","ntPG3coN","2024-08-28","2024-08-28","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Shifted nervously in chair during questioning."
"30","N3JOrM4M","2024-08-28","2024-08-28","academic dishonesty","ISS","ajh","Unknown student caught copying answers during a math test. Was observed sneaking formula sheet out of pocket. Student initially denied but later admitted to cheating when faced with evidence. Showed high anxiety levels during confrontation."
"31","E3o5Va3i","2024-08-28","2024-08-28","altercation","ISS","chs","Altercation in cafeteria during lunch, student was combative and refused to cooperate with staff. Pots and pans were thrown, resulting in chaos. Student finally restrained by security."
"32","LCQJT9UW","2024-08-28","2024-08-28","academic dishonesty","warning","chs","Student was caught plagiarizing material from an unknown online source during a midterm exam. Student showed defiance when confronted, claiming innocence despite overwhelming evidence. This marks a concerning trend of deceitful behavior in classes."
"33","CI2Z1XQI","2024-08-28","2024-08-28","dress code","warning","dhs","Student's attire violated dress code by wearing flip-flops during morning assembly, showing a casual demeanor. Severe warning issued due to repeated reminders. Shoes were noticeable as they didn't match the formal uniform. Encourage adherence to guidelines."
"34","AWTtz8sZ","2024-08-27","2024-08-28","academic dishonesty","parent conference","chs","Student caught plagiarizing material from an unknown source during English essay assessment. Student was sneaky, trying to conceal cheat sheet under desk during test. Student's nonchalant attitude during confrontation raised concerns. Parent conference ordered."
"35","bQ0NbpeM","2024-08-28","2024-08-28","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and a shirt with inappropriate slogan. Despite warnings, student remained defiant and argued during confrontation. ISS assigned for continued disrespect and refusal to comply."
"36","kAo9o5ls","2024-08-28","2024-08-28","dress code","warning","chs","Student was found wearing a bright orange hat with sparkly feathers, violating dress code policy. Despite multiple warnings, student's defiance towards staff was notable. A formal warning is being issued and a meeting with parents is scheduled."
"37","HSQCx7Ac","2024-08-28","2024-08-28","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely when confronted."
"38","kBdeQHqp","2024-08-28","2024-08-28","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by saying ""everyone does it."" Will serve ISS for a week and rewrite paper under supervision."
"39","UZqcvZZF","2024-08-29","2024-08-29","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"40","nm4eF0Nh","2024-08-29","2024-08-29","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely when confronted. Discovery made during peer review session."
"41","OGXRMq0I","2024-08-29","2024-08-29","academic dishonesty","ISS","chs","Student was caught plagiarizing material for a history essay during 5th period. Student showed defiance when confronted, claiming innocence despite overwhelming evidence. This marks the third offense this semester."
"42","GFy1hQOf","2024-08-29","2024-08-29","academic dishonesty","warning","chs","Student caught plagiarizing an essay during afternoon study hall. Showed defiance when confronted, claiming ignorance. Suspicion raised due to sudden shift in writing style. Discovery of multiple online sources confirmed dishonesty."
"43","Kr72RcpW","2024-08-29","2024-08-29","altercation","detention","ajh","Student engaged in a physical altercation in the cafeteria during lunchtime. Student was highly agitated and used inappropriate language. This behavior is unacceptable and warrants a detention to address and learn from this incident."
"44","LxYm2U10","2024-08-29","2024-08-29","dress code","warning","ajh","Student was wearing a bright pink cowboy hat during class, violating the dress code policy. Despite being reminded, student kept the hat on and seemed defiant. Warning issued due to severity of the violation and disregard for rules."
"45","Uyjnw6yq","2024-08-29","2024-08-29","academic dishonesty","ISS","ajh","Student was caught using a smartwatch during a test, accessing answers surreptitiously. Initially seemed surprised, later admitted fault but remained defensive. This is a serious breach of academic integrity that necessitates appropriate consequences."
"46","am34bIo8","2024-08-29","2024-08-29","dress code","warning","bjh","Student's attire violated dress code by wearing flip-flops during morning assembly, showing a lack of professionalism. Student's refusal to rectify the issue promptly was noticeable. Emphasize the importance of adhering to dress code standards to foster a respectful school environment."
"47","UuSCYSTX","2024-08-29","2024-08-29","academic dishonesty","warning","chs","Student was caught plagiarizing material from an online source during a timed assessment. Despite initial denial, student became visibly nervous and fidgety during questioning. The paper included peculiar formatting inconsistencies compared to their usual work."
"48","wtqTSZBG","2024-08-29","2024-08-29","academic dishonesty","parent conference","dhs","Student was caught using a cheat sheet during a morning exam, showing a lack of remorse during the incident. The cheat sheet was written in tiny font on the back of a water bottle label. Parent conference required to address seriousness."
"49","8BglgwYe","2024-08-30","2024-08-30","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Shifted nervously in chair during meeting. Blatant disregard for academic integrity."
"50","0p2cVzMh","2024-08-30","2024-08-30","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and avoided eye contact. This is a serious breach of academic integrity and requires a parent conference to address the issue."
"51","NWXJFu1L","2024-08-30","2024-08-30","academic dishonesty","suspension","chs","Student caught plagiarizing an online article during a pop quiz. Initially denied accusations, but later admitted to copying verbatim. Showed no remorse. Failed to grasp seriousness of offense despite clear rules against cheating."
"52","FY23yV3i","2024-08-30","2024-08-30","altercation","suspension","chs","Altercation occurred during lunch hour in cafeteria. Student displayed aggressive behavior, throwing milk cartons and using foul language. Spontaneous dance-off ensued before staff intervention. Suspending for violent conduct and disrupting school environment."
"53","dKSYPBCm","2024-08-30","2024-08-30","bullying","ISS","chs","Student engaged in repeated name-calling and intimidation towards another student during lunchtime. Student showed no remorse and refused to acknowledge the impact of their actions. This behavior is unacceptable and warrants disciplinary action."
"54","fxGQH22A","2024-08-30","2024-08-30","theft","detention","ajh","Student was observed taking items from another student's bag during lunch. Student appeared nervous and secretive, hiding the items in their own bag. The stolen items were a snack and a small toy. Staff intervened before further escalation."
"55","IbvhLGCq","2024-08-30","2024-08-30","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by falsely citing obscure sources, including a cooking blog and a cat meme. ISS assigned for blatant dishonesty."
"56","VdTASUFC","2024-08-30","2024-08-30","altercation","suspension","chs","Altercation occurred during lunch hour in cafeteria. Student displayed aggressive behavior, throwing milk cartons and using foul language. Spontaneous food fight ensued, resulting in chaos. Staff intervention required to contain situation."
"57","6pmkDSIF","2024-08-30","2024-08-30","disruption","suspension","ajh","Student loudly played a trombone in the cafeteria during lunch, causing chaos and disruption. Ignored multiple warnings and continued to play, resulting in a serious disturbance to the learning environment."
"58","3utvgu8U","2024-09-02","2024-09-02","dress code","detention","ajh","Student was in violation of dress code for wearing flip-flops, ripped jeans, and a tank top with offensive language. Despite multiple warnings, student's demeanor was uncooperative. Detention is ordered to address the seriousness of the offense."
"59","T3EER8ru","2024-09-02","2024-09-02","academic dishonesty","parent conference","ajh","The student was caught plagiarizing during a surprise quiz in history class. They were seen uncomfortably shifting in their seat and avoiding eye contact when questioned. A parent conference is necessary to address the seriousness of the offense."
"60","yVT9W2bF","2024-09-02","2024-09-02","academic dishonesty","parent conference","ajh","Describing academic dishonesty incident: During a surprise desk check, student was observed with cheat sheet hidden inside a mechanical pencil. Student appeared nervous and avoided eye contact when questioned. Discovery made during afternoon study hall."
"61","6cDUYqbu","2024-09-02","2024-09-02","altercation","ISS","dhs","Description: Student engaged in a physical altercation in the cafeteria during lunchtime. Student displayed aggressive demeanor and caused a disruption. Incident involved throwing a sandwich and subsequent shoving match."
"62","ij0Ipe42","2024-09-02","2024-09-02","academic dishonesty","ISS","chs","Student was caught plagiarizing an essay in English class. Showed no remorse, claiming they were ""just being resourceful."" When questioned, their responses were evasive and defensive. ISS assigned for reflection on honesty and integrity."
"63","bgkClsNw","2024-09-02","2024-09-02","academic dishonesty","detention","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied wrongdoing, but later admitted. Showed defiance towards consequences during meeting, claiming ignorance of academic integrity policies despite multiple reminders in class."
"64","NR60pDtU","2024-09-02","2024-09-02","altercation","ISS","chs","Altercation in cafeteria during lunch, student was combative and refused to cooperate with staff. Pots and pans were thrown, resulting in chaos. Student showed no remorse for their actions. ISS ordered."
"65","hGwzHjl5","2024-09-02","2024-09-02","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"66","SxoZoDuj","2024-09-02","2024-09-02","bullying","parent conference","ajh","""Student was observed forcefully taking items from another student during lunchtime. Student displayed aggressive behavior and ignored warnings from staff to stop. Parent conference ordered to address the bullying incident."""
"67","GfV9dfI1","2024-09-02","2024-09-02","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe for lasagna. Denied all charges despite overwhelming evidence. Blatant disregard for academic integrity."
"68","3cubNoUD","2024-09-02","2024-09-02","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and a shirt with inappropriate slogan. Despite warnings, student was defiant and argued during confrontation. ISS assigned for continued disrespect."
"69","ZKFv6IjD","2024-09-02","2024-09-02","altercation","ISS","ajh","Student engaged in a physical altercation in the cafeteria during lunchtime. Student was highly agitated, using profanity and throwing food before staff intervention. This behavior is concerning and warrants ISS for reflection and correction."
"70","iIejekLQ","2024-09-02","2024-09-02","academic dishonesty","ISS","ajh","Student was caught using a smartwatch to access answers during a math exam. Initially cooperative, but became defensive when confronted. Whispered to a classmate before handing over the device. Attempted to minimize the seriousness of the situation by claiming confusion over exam guidelines."
"71","QPX4CZ5k","2024-09-02","2024-09-02","dress code","detention","chs","Student was in violation of dress code for wearing bright purple cowboy boots during school hours. Despite warnings, student was uncooperative and showed a defiant attitude. Detention is necessary to address this behavior and ensure compliance with school rules."
"72","ZrbfvjmL","2024-09-02","2024-09-02","altercation","suspension","chs","Altercation occurred during lunch hour in cafeteria. Student displayed aggressive behavior, throwing milk cartons and using foul language. Spontaneous outbreak over seating led to chaos. Staff intervened to break up scuffle."
"73","pNazKM0K","2024-09-02","2024-09-02","academic dishonesty","suspension","chs","Student caught plagiarizing a history essay. Showed no remorse, insisting the ""dog"" ate their laptop with the original draft. Continued to deny cheating despite overwhelming evidence."
"74","WpiJ1YwX","2024-09-02","2024-09-02","altercation","suspension","chs","Altercation in cafeteria during lunch, student displayed aggressive behavior, threw milk carton across room, yelled profanities. Suspended for safety of others."
"75","VTkbRelw","2024-09-02","2024-09-02","altercation","detention","dhs","Description: Student engaged in a verbal altercation during lunch break, displaying aggressive behavior and using profane language. Per school policy and code of conduct, student is assigned detention to address behavior."
"76","W1GFtrZc","2024-09-03","2024-09-03","dress code","detention","ajh","Student was in violation of dress code for wearing flip-flops, ripped jeans, and a tank top with inappropriate slogans. Despite multiple warnings, student's demeanor was uncooperative. Detention is ordered to address the seriousness of the offense."
"77","pZNIgkyp","2024-09-03","2024-09-03","dress code","detention","ajh","Student was in violation of dress code by wearing flip-flops, ripped jeans, and a tank top with offensive language. Despite warnings, student's demeanor was defiant. Detention is necessary to reinforce dress code standards."
"78","2KcYhVYd","2024-09-03","2024-09-03","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class, despite repeated warnings. Dress code clearly states no sleepwear allowed. Student showed defiance when confronted."
"79","VqgAcyKa","2024-09-03","2024-09-03","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by falsely citing nonexistent sources. Insisted upon innocence until presented with undeniable evidence."
"80","TNezhF2s","2024-09-03","2024-09-03","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class. Student showed defiance, claiming they dressed ""professionally."" Uniform policy strictly enforced."
"81","3RuXq0td","2024-09-03","2024-09-03","academic dishonesty","parent conference","chs","Student caught plagiarizing material from an unknown source during English class. Student showed defiance, claiming innocence despite overwhelming evidence. Parent conference scheduled to address dishonesty and attitude towards academic integrity."
"82","oH0UuQuu","2024-09-03","2024-09-03","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class, despite repeated warnings. Dress code clearly states no sleepwear allowed. Student was unapologetic and argumentative when confronted."
"83","fKpfyrsP","2024-09-03","2024-09-03","altercation","warning","bjh","Description: Student engaged in a verbal altercation in the cafeteria during lunchtime. Student displayed aggressive demeanor and raised voice, causing disruption. School staff intervened promptly."
"84","4sPvt1MH","2024-09-03","2024-09-03","altercation","ISS","chs","Altercation occurred during lunch hour in cafeteria. Student was loud and aggressive, threw food at another student. Refused to calm down despite staff intervention. Reports of prior conflict between students."
"85","ornYqYKz","2024-09-03","2024-09-03","dress code","warning","ajh","Student was wearing a bright pink cowboy hat during class, violating the dress code policy. Despite being reminded, student kept the hat on and seemed defiant. This warning serves as a reminder to adhere to the school's uniform guidelines."
"86","x8BtwELX","2024-09-03","2024-09-03","bullying","ISS","ajh","Student engaged in persistent name-calling and intimidation towards other students during lunch period. Showed no remorse when confronted, claiming it was a ""joke."" Refused to apologize or accept responsibility. Witnesses report feeling uncomfortable and intimidated by student's behavior."
"87","rLfQl9iu","2024-09-03","2024-09-03","bullying","suspension","chs","Student engaged in repeated name-calling and physical intimidation towards another student during lunch in the cafeteria. Student showed no remorse and attempted to involve others in the behavior. Security had to intervene to stop the incident."
"88","MxXlbCPO","2024-09-03","2024-09-03","academic dishonesty","suspension","ajh","Student was caught using a smartwatch to access answers during a history exam. Despite being reminded of exam rules, student continued cheating. Displayed a nonchalant attitude when confronted."
"89","pHrVOpkG","2024-09-02","2024-09-03","bullying","suspension","ajh","Student engaged in persistent verbal bullying towards a peer, making derogatory remarks loudly in the cafeteria. Despite warnings, continued to taunt student by mimicking their speech pattern and mannerisms in front of others. This behavior escalated when student knocked over peer's lunch tray, causing a disturbance."
"90","Ft5t9iZe","2024-09-04","2024-09-04","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class, despite repeated warnings. Dress code clearly states no sleepwear allowed. Student was unapologetic and argumentative when confronted."
"91","xf3roIAm","2024-09-04","2024-09-04","altercation","warning","dhs","Description: Student engaged in a verbal altercation during lunch break, displaying aggressive behavior and using profane language. Incident involved food being thrown across the cafeteria causing disruption. Student's refusal to calm down prompted intervention by staff."
"92","ysrvztfA","2024-09-04","2024-09-04","academic dishonesty","warning","ajh","During a surprise check, student was found with cheat sheets inside a sandwich wrapper during lunch. Student seemed surprised but quickly admitted to using them during the science test."
"93","biWt4Cnn","2024-09-04","2024-09-04","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied wrongdoing, but later admitted under pressure. Showed no remorse during confrontation. Used a unique font for the plagiarized section, attempting to mask the deception."
"94","n4DfrEuK","2024-09-04","2024-09-04","dress code","warning","dhs","Student's attire violated dress code: Spaghetti straps paired with boxer shorts, mismatched socks. Displayed indifference when reminded of rules, causing minor disruption during morning announcements. Warning issued to adhere to uniform policy for respectful school environment."
"95","VH4XwGn7","2024-09-04","2024-09-04","academic dishonesty","parent conference","bjh","Student was caught using a cheat sheet during a morning math exam. Despite initial denial, student eventually admitted their actions but remained defiant during the discussion. Their nervous demeanor was noted during the incident."
"96","kWDlta61","2024-09-04","2024-09-04","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied wrongdoing, but later admitted when confronted with evidence. Showed no remorse. Kept muttering excuses and blaming a sibling for not helping with the work."
"97","NmKUHb4S","2024-09-03","2024-09-04","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by saying ""but everyone does it."" Severe breach of academic integrity. ISS assigned."
"98","BcFBe57A","2024-09-04","2024-09-04","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by saying ""but everyone does it."" Severe breach of academic integrity. ISS assigned for reflection."
"99","jL0N5BFe","2024-09-04","2024-09-04","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely when confronted."
"100","Vn7GiC6A","2024-09-04","2024-09-04","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Shifted nervously in chair during questioning."
"101","PbU6fFOn","2024-09-04","2024-09-04","theft","parent conference","ajh","""Student was caught stealing multiple items from the school cafeteria during lunch hours. Showed no remorse when confronted, claiming items were theirs. Parent conference requested to address behavior and consequences."""
"102","6X3kANLj","2024-09-04","2024-09-04","altercation","warning","chs","Altercation in cafeteria during lunch, student was combative and threw milk carton across room. Required intervention from multiple staff members."
"103","aPCqEBc9","2024-09-04","2024-09-04","altercation","detention","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and refused to calm down despite staff intervention. No physical harm reported, but disruption was significant."
"104","baudn5zE","2024-09-04","2024-09-04","academic dishonesty","warning","chs","Student caught plagiarizing a Wikipedia article during a pop quiz at 10:00 a.m. Spent more time formatting the cheat sheet than actually studying. Showed no remorse when caught, even argued it was their work."
"105","xgXGtyBo","2024-09-04","2024-09-04","altercation","detention","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and refused to calm down despite staff intervention. Led to disruption and cleanup. Detention ordered for behavior."
"106","cuCypjPC","2024-09-04","2024-09-04","academic dishonesty","parent conference","ajh","The student was caught plagiarizing during a surprise quiz in history class. Their behavior was evasive during questioning, but eventually admitted to copying from an online source. A parent conference is requested to discuss the seriousness of the offense and potential consequences."
"107","QRgHe2tC","2024-09-04","2024-09-04","dress code","suspension","ajh","Student was in violation of dress code by wearing a hoodie with inappropriate language. Despite multiple warnings, student continued to be defiant, causing disruption. Per school policy and severity of defiance, suspension is warranted."
"108","mNLGPvHC","2024-09-04","2024-09-04","theft","suspension","ajh","Student was observed taking items from another student's bag during lunch. Student showed no remorse and attempted to conceal the stolen items under their shirt. The severity of the theft and their demeanor warranted immediate disciplinary action."
"109","lPkpwZoF","2024-09-04","2024-09-04","academic dishonesty","suspension","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"110","WRjxPB63","2024-09-04","2024-09-04","dress code","ISS","ajh","Student was wearing a bright purple hoodie with a large cartoon character on the front, violating the dress code policy. Despite reminders, student was uncooperative and argumentative during the redirection process."
"111","Djw8aPwx","2024-09-04","2024-09-04","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and evasive. The student's paper contained unique errors matching another student's answers. The student's behavior raised suspicion among classmates."
"112","jepjbfeO","2024-09-04","2024-09-04","bullying","suspension","chs","Student engaged in repeated name-calling and intimidation towards peers during lunch break, maintaining a smug attitude when confronted. Spotted taking belongings from other students and playing keep-away. Displayed no remorse or willingness to change behavior during counseling."
"113","mGFJi0o1","2024-09-05","2024-09-05","theft","suspension","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. They were observed acting nervously and fidgeting with their pockets before being confronted. The severity of the theft and their demeanor warranted immediate disciplinary action."
"114","OkZaoBnU","2024-09-05","2024-09-05","altercation","suspension","chs","Altercation in cafeteria during lunch, student displayed aggressive behavior, involved food throwing. Staff intervened after student attempted to jump on table."
"115","4oqheQ5X","2024-09-05","2024-09-05","academic dishonesty","suspension","ajh","Student was caught using a smartwatch during a test, attempting to discreetly access banned materials. Despite warnings, student continued cheating, displaying a lack of remorse when confronted. Staff noted student's calm demeanor throughout the incident, which heightened the seriousness of the offense."
"116","WiI0vqrq","2024-09-05","2024-09-05","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by saying ""everyone does it."" Refused to admit wrongdoing."
"117","B8VNAEDG","2024-09-05","2024-09-05","altercation","detention","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and uncooperative, refusing to follow staff instructions. Food fight ensued, resulting in a messy cleanup. Detention scheduled to address behavior."
"118","gu7nmUA8","2024-09-05","2024-09-05","bullying","ISS","ajh","Student engaged in persistent verbal taunting during lunch, targeting another student's physical appearance. Showed defiance when confronted, only stopping when a teacher intervened. Displayed a lack of remorse or empathy."
"119","lsSi5svX","2024-09-05","2024-09-05","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay during 3rd period. Showed no remorse, claimed ""everyone does it."" Unique excuse for copy/pasting and disbelief when confronted."
"120","PIvpuhD5","2024-09-05","2024-09-05","dress code","warning","chs","Student received a warning for violating dress code during morning assembly. Attire: oversized hoodie, ripped jeans, sunglasses indoors. Student was defiant when reminded of school rules."
"121","Dg0TS8o5","2024-09-06","2024-09-06","dress code","parent conference","chs","Student was in violation of dress code wearing pajama pants, a tank top, and flip-flops. Refused to comply with requests to change. Parent conference requested to address disrespect for school rules."
"122","WAymSpCF","2024-09-06","2024-09-06","bullying","suspension","ajh","Student engaged in persistent verbal bullying, targeting a classmate during lunchtime. Used threatening language and intimidating gestures. Ignored warnings from staff. Unusual level of aggression and lack of remorse noted."
"123","cdrFU6Or","2024-09-06","2024-09-06","theft","suspension","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. They were observed acting nervously and fidgeting with their pockets before being confronted. The severity of the theft and their demeanor warranted immediate disciplinary action."
