"Description","Specialties","Industries","Ownership"
"Corporate Insight Solutions, Ltd. is a leading business consultancy, focused on delivering solutions in Process Mining, Business Process Modeling, Performance Management, Balanced Scorecards and Enterprise Architecture. The company provides the right advice, support and technology to help its clients deliver process and performance improvement.","Process Mining Software, Process Mining Consultancy, Process Management Software, Process Management Consultancy, Performance Management Software, Performance Management Consultancy, Balanced Scorecard Software, Balanced Scorecard Consultancy, Enterprise Architecture Software, Enterprise Architecture Consultancy","Management Consulting","Private"
"FCG Prodacapo Group Oy provides software solutions for strategic corporate performance management. The company suite of solutions contains applications for activity based costing/management, planning, balanced scorecard and process management. Customers apply FCG Prodacapo solutions on an enterprise scale or as a point solution to address key challenges.","strategic corporate performance management (cpm), time driven activity based costing (tdabc), activity based management/costing, activity based planning, balanced scorecard (bsc), process management/process costing, profitability management, analysis and reporting, it software, process automation, accounting and finance, business process management, it management, erp, information technology, corporate performance management (cpm)","Information Technology & Services","Private Sub"
"ShareValue, Lda. is a software product development company, founded on an innovative and pragmatic vision, on an elite development team and on the trust of the customers. The company offers Balanced Scorecard, Strategy, KPI, Corporate performance management, BI, and Performance Management.","Templesbalanced Scorecard, Strategy, Kpi, Corporate Performance Management, Bi, Performance Management","Information Technology & Services, Computer Software","Private"
"A3 Solutions, Inc. develops cloud-based and on-premise enterprise budgeting and corporate performance management solutions. The company offers A3 Modeling, a solution that provides a spectrum of corporate performance management solutions, including enterprise budgeting, rolling forecasting, management reporting, multi-entity consolidations, dashboards and scorecards, ad-hoc analysis, revenue forecasting, expense budgeting, and capital budgeting, as well as compensation, headcount, and benefits planning. It delivers the performance, scalability, and security demanded by complex organizations.","Corporate Budgeting, Forecasting Software, Enterprise Budgeting, Rolling Forecasting, Corporate Performance Management, Management Reporting, Adhoc Analysis, Multi-entity Consolidation, KPI Dashboards, Balanced Scorecards","Information Services, Management Consulting","Private"
"Agium EPM B.V. specializes in the design and implementation of both Oracle Hyperion Performance Management and OneStream Software tools. It focuses on the area of Business, Planning and Control, Shared Services, Continuous Improvement, Recruitment, Continuous Assurance, and Enterprise Performance Management.","Enterprise Performance Management, EPM, Oracle EPM, OneStream, Financial Consolidation, Financial Reporting, Business Intelligence, Corporate Performance Management, Close management, Software, Vendor selection","Computer Software","Private Sub"
"ONFocus Healthcare, Inc. provides enterprise performance management (EPM) software and support services for the healthcare marketplace. The company also offers onFocus epm, a Web-based EPM software solution to automate enterprise performance management processes by integrating strategic and operational planning with business intelligence, employee accountability, and real-time progress tracking and performance monitoring.","Business Execution Software, Employee Performance Accountability, Key Performance Indicator Optimization, Operational Excellence, Strategy Execution","Information Technology & Services","Private Sub"
"CMLgroup Business Performance Management architects and deploys Business Performance Management (BPM) solutions that address Financial Services, Insurance, Higher Education, Power Distribution, Healthcare, Media, Entertainment, for Fortune 500 organizations in USA and abroad. Apply BPM solutions to IT Governance Risk and Compliance (GRC), Enterprise Project Management (EPM), maximizing Return on Investment (ROI) through improved Quality of Services (QoS) and reducing Cost of Service (CoS).","Business Performance Management (BPM), Key Risk Indicators (KRI), Key Performance Indicators (KPI), Key Compliance Indicators, IT Risk Management (ITRM), Governance Risk Control (GRC), Data Visualizaton, PMO, Enterprise Project Management (EPM), Dashboards Design, Agile / Scrum","Management Consulting","Private"
"Fidenda, Ltd. is the UK's consultancy in Enterprise Performance Management (EPM), a technology that enables businesses to plan and monitor business operations and initiatives. The company offers the experience of EPM technology and business process, to design and implement solutions that transform into data-driven organizations.","Anaplan, Consulting, Enterprise Performance Management, Connected Planning","Management Consulting, Information Technology & Services","Private"
"Sunspire Solutions Corp. is a software services and consulting company. It offers quality solutions such as Enterprise Financial Management, Enterprise Asset Management, Expense Management, Enterprise Performance Management, Document Management, Integration, and Analytical solutions that cater across industries.","enterprise financial management, enterprise asset management, expense management, enterprise performance management, document management","Computer Software, Internet","Private"
"BPM Partners, Inc. is an advisory services company, that provides business performance management solutions. It offers solutions for various areas, such as budgeting, strategic planning, and forecasting; performance dashboards, scorecards, and key performance indicators; consolidation, financial reporting, and IFRS transition; and operational analysis and profitability optimization.","Business Performance Management, Business Intelligence, Budgeting, Planning, Key Performance Indicators","Management Consulting","Private"
"IQity Solutions, LLC provides cloud-based enterprise performance management (EPM) software. It offers IQ-Fusion, an on-demand enterprise performance management software for manufacturers to monitor and control production variation; IQ-Edge professional business services to solve business problems and deliver measurable financial results; and IQ-Insight, a remote monitoring and collaboration service to analyze and improve operations.","quality management, advanced planning, scheduling, advanced manufacturing management, operational and business intelligence, real-time performance monitoring, mobile connectivity, computerhardware&software","Information Technology & Services","Public Sub"
"Column5 Consulting Group, LLC provides various information technology consulting services. The company focuses on its services in the areas of SAP's enterprise performance management (EPM) product suite. It offers various solution implementation services; management consulting services in the areas of improving organizational effectiveness and changing behaviors; and get started services, such as assistance with SAP EPM products and evaluating new products or expanding existing SAP EPM footprint.","SAP BusinessObjects, EPM, Business Intelligence, Profitability, Cost Management, PCM, Business Planning, Consolidation, BPC, Financial Information Manager, FIM, NetWeaver, HANA, Mobility, Cloud, SAC, Actionable Intelligence, SAPBPC, FP, A, Planning, Analysis, Digital Transformation, KPI's, DashBoards, Reporting, HybridCloud, AWS, BPC LIVE SUPPORT, C5LIVE","Information Technology & Services, Management Consulting","Private"
"Dashboard Dealership Enterprises, Inc. is the market leader in Web Management solutions for auto dealers, including analytics and exception-based reporting. Dashboard Dealership Enterprises provides Auto-Dealership groups with Customized and Enterprise Reporting software. Dashboard rapidly develops high-quality system products and related services to satisfy the current and emerging needs of the customers.","Automotive, Software, Reporting, kpi's, analytics, business intelligence, enterprise-solutions","Automotive, Internet","Public Sub"
"Opal Wave Solutions, Ltd. is an enterprise performance management (EPM) and business intelligence specialist consulting firm with operations in Europe and the Middle East. It provides better performance management, where the solution provided is aligned with the client's business objectives, responsive to the needs of all its users, and adaptable to changing business circumstances.","Corporate Performance Management (CPM), Business Performance Management (BPM), Enterprise Performance Management (EPM), SAP BPC, IBM Cognos, Microsoft Certified Partner, Microsoft Performance Point, Microsoft Business Intelligence, Azure Cloud Hosting, Private Cloud","Management Consulting","Private Sub"
"Quantivate, LLC is a developer of web-based governance, risk, and compliance software. The company offers enterprise risk management, third-party and vendor management, business continuity, internal audit, and regulatory compliance management solutions. Its scalable technology and service solutions equip organizations of all sizes to make more strategic decisions, improve performance, and reduce costs.","Business Continuity, Enterprise Risk Management, Information Security, Audit Management, Complaint Management, Policy Management, Regulatory Compliance, GRC, Risk Management, Governance, Risk, Compliance, Integrated Risk Management, Vendor Risk Management","Computer Software, Internet, Management Consulting","Venture Capital"
"Emptoris is a provider of supply management and contract management software solutions. The companys software suite combines contract management, sourcing, spend analysis, compliance, and supplier performance management. It serves its client nationwide.","Enterprise Software, Finance, Risk Management","Computer Software, Internet","Public Sub"
"EPM and BI is a professional services company focusing on Enterprise Performance Management and Business Intelligence. It works hand-in-hand with companies struggling to find the right data.","Enterprise Performance Management, Business Intelligence, Oracle, Consulting, Corporate Performance Management","Information Technology & Services, Information Services","Private"
"Solver, Inc. is a software development company. The company offers BI360, which provides an Excel-based BI solution that includes reporting, budgeting, dashboard, modeling, and a pre-configured data warehouse, and performance point services, an integrated performance management application, which provides various functionalities needed for performance management, including scorecards, dashboards, performance monitoring, management reporting, and analytics. Its solution is built to enable faster and better business decisions across the entire organization.","Business Intelligence, Planning, Reporting, Analysis, Scorecarding, Dashboards, Data Warehousing, Budgeting, Consolidations, Forecasting, Cloud Reporting, Cloud Budgeting, Cloud Data Warehouse, Cloud CPM, Financial Reporting","Computer Software","Private Sub"
"RETIT GmbH is a software company that provides software application performance management, performance engineering, and enterprise applications. The company's solutions help predict the performance of enterprise applications for future scenarios based on existing APM data.","Software Performance Engineering, Application Performance Management, Performance Engineering, Enterprise Applications","Computer Software","Private"
"Insight Solution Partners (InsightSPI) provides business analytics solutions in a cloud-native world. It has expertise in performance management, business intelligence, reporting, analytics, scorecards, dashboards, planning, budgeting, forecasting, data warehousing, big data, and data management.","performance management, business intelligence, reporting, analytics, scorecards, dashboards, planning, budgeting, forecasting, data warehousing, big data, data management","Information Services, Information Technology & Services","Private"
"LogicManager, Inc. is the industry in SaaS-based Enterprise Risk Management (ERM) software that empowers organizations to anticipate what's ahead, uphold reputations, and improve business performance through robust governance, risk management, and compliance (GRC). The company offers audit management, business continuity, regulatory compliance, financial controls, cybersecurity, elated risk monitoring, and assessment solutions. It provides powerful risk management software with comprehensive solutions that supply organizations with focused and improved risk management processes.","Enterprise Risk Management (ERM), Operational Risk Management (ORM), Business Performance, Governance Risk, Compliance (GRC), Financial Compliance (SOX, 704), Vendor Management, Project Risk Management, Disaster Recovery, Integrated Risk Management (IRM), Insurance, Safety (RMIS), Compliance, Reputation Risk Management, Audit Management, Business Continuity, Incident Management, Environmental, Health, Safety (EHS), Policy Management","Internet, Computer Software","Private"
"Tribe Trading Co., LLC doing business as Andara BI is a mobile performance management app for iPad and is available on the web. Its solution offers an eagle view of business performance through intuitive, simple, and collaborative dashboards that display relevant information. The company provides SMBs with an ""easy to buy, easy to adopt, or fast to value"" tool to make better decisions through KPI dashboarding.","Mobile Business Intelligence, Dashboard, Balanced Scorecard, Business Apps","Computer Software, Internet","Seed"
"Tervela, Inc. doing business as Visual Mining, Inc. is a data visualization software company, provides interactive business performance management dashboard software for mid-sized businesses. Its Web-based dashboard software enables end-users to monitor data analytics. It offers NetCharts Performance Dashboards that allow businesses to identify and visualize the corporate data that matters through business dashboard software; Live examples using NetCharts Performance Dashboards, which show how organizations manage, monitor and communicate corporate performance through the use of dashboards, scorecards, and analytics; NetCharts Designer, a development and design studio for creating, and managing chart reports, dashboard charts, graphs, tables, and scorecards; NetCharts Server that helps development professionals to deliver data visualization; and NetCharts Pro, a standard bearer for Java charts-based data visualizations.","Performance Dashboards, Performance Management, Analytics, Business Intelligence, Graphical Reporting, Operational Dashboards, Manufacturing Dashboards","Information Services","Private"
"Board International SA is a software vendor leading the way in business intelligence, analytics, and CPM unification. The company provides unified business intelligence and corporate performance management solutions. It offers a programming-free toolkit for the development of corporate performance management and business intelligence applications.","Budgeting, Planning, Forecasting, Financial Consolidation, Profitability Analysis, Performance Management, Strategy Management, Statutory Reporting, Reporting, Analysis, Dashboards, Scorecards, integrated business planning, fp&a, decision-making","Computer Software, Internet, Information Services","Private Equity"
"Lynx Solutions, Inc. is a Business Intelligence (BI) and Enterprise Performance Management (EPM) consultancy. It is focused on bringing together disparate data sources within an organization, and then utilizing that data to analyze existing circumstances, drive organizational processes, and improve overall performance.","Business Intelligence, Enterprise Performance Management, Software Selection, Consulting, Implementation","Information Services","Private"
"Decision Focus Group doing business as Decision Focus ApS is a software development firm for audit management, risk and compliance management, and business continuity planning. The company has provided the world's largest and most prestigious enterprises with software and services. Its employee roster is a unique combination of software experts and GRC professionals with C-level experience from the insurance and financial industries.","Portfolio Management, Product Management, Risk Management, Decision Support, GRC, GRC Software","Computer Software, Internet","Private Equity"
"Saturn Infotech, Inc. is a full-service Oracle Platinum consulting partner, that specializes in delivering business analytics solutions that include Oracle Hyperion Enterprise Performance Management (EPM), business intelligence (BI), and Big Data. The company offers enterprise advisory services in EPM and business analytics solutions for CEOs, CFOs, and CIOs, and software implementation services.","Virtual Reality, Augmented Reality, Mixed Reality, 3D, Unity, Virtual Showroom, Virtual Tradeshow","Information Technology & Services","Public Sub"
"Professional Controlling Systems AG (PROCOS) is a software development company. It has been developing Performance Management Software branded STRATandGO.","Performance Management Software, Balanced Scorecard, Risk Management, Project-Portfolio-Management, Integrated Management System","Computer Software","Private"
"2GC, Ltd. is a strategic performance management consultancy with particular experience in implementing the latest generation of Balanced Scorecards. It is focused on helping organizations across every sector, with issues related to Performance Management, Improvement, Employee Engagement, and Strategic Implementation/Management.","strategic performance management, business performance management, balanced scorecard, business strategy, strategy implementation, key performance indicators (kpis), cascading","Management Consulting, Human Resources, Staffing, & Recruiting","Private"
"Amosca, Ltd. is an enterprise performance management (EPM) consultancy that provides financial and Management Reporting solutions to help businesses worldwide manage, achieve, and maintain strategic and business performance goals. The company provides customers with pragmatic and reliable advice, services, and solutions to enable clients to maximize investment in oracle Hyperion EPM systems.","Oracle Hyperion EPM, HFM, Planning, Essbase, FDMee, DRM, Smart View, Support, Services, Oracle EPM Cloud, Analytics - OAC, ADW, EPM Maestro, MerlinXL, EPM FastTrack, Accelatis, EPMware, Workiva, Dodeca, Serviceware Performance, Financial Consolidation, Narrative Reporting, Tax Reporting, Account Reconciliation, Profitability, Cost Management, Data Management","Information Services, Accounting, Information Technology & Services","Private"
"Cubeware GmbH is a company that provides business intelligence and performance management software solutions. It offers Cubeware Cockpit that provides ad hoc analysis, budgeting, forecasting, and enterprise planning for Windows and Web environments.","Business Intelligence, Performance Management, Data Analytics, Analyse, Dashboarding, Enterprise Reporting, Unternehmensplanung, Data Management, Data Governance, Data Modeling, Data Distribution, Data Visualization, Controlling, Software","Information Technology & Services, Computer Software","Private Sub"
"Risk Matrix Solutions, LLC provides affordable hosted web-based Enterprise Risk Assessment Software for Banks and Credit Unions. Its software solution allows organizations the freedom to focus on the business at hand and not the technology or know-how required to manage software systems.","risk management software and enterprise risk management, insurancecarriers","Computer Software, Internet, Information Technology & Services","Private"
"Centerprise Services, Inc. is a financial technology company, that provides corporate governance, management, and control software solutions. The company offers CenterSphere, an integrated suite of business intelligence software for the corporate control and governance, operational risk and business process, and performance management domains. It serves the investment industry and banking industries.","Order Management Software, Operational Risk Management, Investment Management Technology, Asset Management Solutions, GRC Solutions","Computer Software","Private"
"Absolute EPM is a specialists in the delivery of Oracle Hyperion Enterprise Performance Management (EPM) solutions for budgeting, planning, forecasting and analysis. It work with clients directly as wells working indirectly by partnering with other consulting firms.","Planning, Forecasting & Budgeting, Oracle EPM, Hyperion Planning, Oracle Essbase","Information Technology & Services, Computer Software","Private"
"Astral Solutions Group provides Oracle Hyperion Enterprise Performance Management (EPM) consulting, advisory, managed services and training solutions. The company specializes in delivering performance management solutions for Consolidations, budgeting, forecasting, planning and reporting for small, midsize and large companies.","management consulting, custom business solutions, advisory services, enterprise performance management (epm) solutions, financial reporting, office of finance, operations, manufacturing, reit, b2b services, oracle cloud application resellers, oracle channel partners, value-added resellers (vars), oracle hyperion resellers, oracle database resellers, information technology","Information Technology & Services","Private"
"Dimension Consulting, Inc. is an IT services provider with a niche practice area in the delivery of Oracle EPM solutions to Fortune 500 enterprises as well as small and medium-sized businesses. The company has provided end-to-end Hyperion Enterprise Performance Management (EPM), Hyperion Financial Management (HFM) and Essbase solutions to a wide range of customers.","Hyperion Financial Management, Hyperion Planning, Essbase, Planning Budgeting Cloud Services, Hyperion DRM, Application Development & Maintenance Services, Oracle Exalytics In-Memory Machine, Project Management, IT Staffing","Information Technology & Services","Private"
"CIS Corporate provides information technology consulting services primarily to government, banking and finance, insurance, pharmaceutical, retail, manufacturing, logistics and distribution, CPG, and petrochemical and telecommunications sectors in Latin America and the United States. The company offers business solutions in the areas of enterprise performance management, including planning, financial and consolidation, scorecard, and strategic finance; sales performance management, such as enterprise incentive management; business intelligence, including data warehousing and Essbase; data management, including enterprise data integration and data engine; and output, such as reporting and dashboard","Enterprise Performance Management (EPM), Business Intelligence (BI), Business Performance Management (CPM), Business Process Management (BPM), Incentive and Compensation Management (ICM), Service Oriented Architeture (SOA)","Management Consulting, Information Technology & Services","Private"
"Target Applications, Ltd. doing business as Target Dashboard is a forward-thinking supplier of executive dashboards. The company provides dashboard software that connects to any system to analyze data. It is based in Scotland, UK although it works with customers across the world.","KPI Dashboards, KPI Reporting, HR Dashboard, Housing Dashboard, Financial Dashboard, Management Dashboards, Business Dashboard, Business Intelligence, KPI Management, HR Management, Business Management, Financial Management, Dashboard Software, Big Data, Data Management, Reporting Software, Management Software","Computer Software","Private"
"Mdsap Tech S.A. helps clients run businesses better using technologies from SAP and other best of breed solution providers. It deliver world-class integrated solutions including Data Management, Enterprise Performance Management (EPM), Group Finance, Business Analytics and Omni-Channel eBanking Solutions.","Data Analytics, Epm, Data Warehousing, Business Intelligence, Real Time Data Analysis, Disclosure Management, Multi-channel Ebanking, Business Analytics, Strategy Management, Data Management, Mobility, Dashboards, Big Data, Data Services, Information Management","Information Technology & Services","Private"
"Dasheroo, Inc. is a software development industry that develops business dashboards. It offers a dashboard that enables users to access data from anywhere, on any device, and at any time in one place.","Business Dashboards, Google Analytics, Business Analytics, Key Performance Indicators, Twitter Dashboard, Linkedin Dashboard, KPI, Salesforce Dashboard","Computer Software","Private Sub"
"TopDown Consulting, Inc. provides strategy, assessment, implementation, and optimization services for Hyperion/enterprise performance management (EPM) solutions. The company offers strategic services, such as EPM strategy session, EPM roadmap, and application and system reviews; implementation services, including new system design and deployment, technical architecture design, software installation and configuration, technical reviews and assessments, system optimization, and automation; and training and education services, which include onsite private training, Oracle university, virtual classroom training, and computer based training.","Bi, Business Intelligence, Consulting, Drm, Enterprise Performance Management, Epm, Epm In The Cloud, Essbase, Oracle Data Relationship Management, Oracle Hyperion, Oracle Pbcs, Planning, Budgeting Cloud Services","Information Technology & Services","Private"
"Centius, Inc. is a software company committed to developing  next-generation on-demand business intelligence (BI) and data analysis solutions. The company offers Enterprise Business Intelligence software, Advanced-Data Visualization software, Cloud Business Intelligence solutions, Predictive Analytics software, Big data analytics software, Business Intelligence software implementation services, and KPI management dashboards.","Enterprise Business Intelligence software, Advanced-Data Visualization software, Cloud Business Intelligence solutions, Predictive Analytics software, Big data analytics software, Business Intelligence software implementation services, KPI management dashboards","Information Technology & Services","Private"
"Giantstep, Lda. (Gstep) is specialized in business intelligence, enterprise performance management, and business analytics. It offers business intelligence, enterprise performance management, business analytics, big data, data warehousing, Microsoft, Oracle, azure, bi, Epm, analytics, power bi, data analytics, ba, and tableau.","Business Intelligence, Enterprise Performance Management, Business Analytics, Big Data, Data Warehousing, Microsoft, Oracle, Azure, Bi, Epm, Analytics, Power Bi, Data Analytics, Ba, Tableau, Análise De Dados","Information Services","Private"
"DOIQ, LLC doing business as TeamLy, LLC is a simple SaaS-based platform that helps organizations think and move faster. The company partnered with TIBCO's tibbr enterprise social platform to deliver this to mid-market and enterprise businesses. It specializes in human resources, enterprise software, human capital management, and performance management.","human resources, enterprise software, human capital management, performance management","Internet, Computer Software","Private"
"Triskell Software, LLC provides a new platform using the most modern technology, with a clear advantage in pure SaaS solutions and a focus on usability, flexibility, and performance. It provides Enterprise Strategy Execution Management solution with advanced Project Portfolio Management features.","Enterprise Portfolio Solution, It Consulting, Portfolio Management, Ppm Software","Computer Software","Private"
"Onspring Technologies, LLC provides intuitive enterprise software for businesses. The company creates business automation solutions with a people-first approach, which results in simplified workflows, process transparency, and the elimination of manual, repetitive tasks. It offers vendor management software, process automation, compliance software, enterprise software, GRC software, no-code platform, enterprise risk management, and ITSM.","Audit Software, SaaS, Legal Software, Productivity, Vendor Management Software, Process Automation, Compliance Software, Enterprise Software, GRC Software, No-Code Platform, Enterprise Risk Management, ITSM","Information Technology & Services, Computer Software","Private"
"DataPMI, Inc. is an IT Solutions and Services company focusing on IT Services and consulting. It specialize in software development and providing information technology solutions to a broad range of companies in specialized areas of project management implementation, eCommerce, Enterprise Performance Management (EPM), Corporate Performance Management (CPM), database administration, and internet/intranet web applications, Analytics, AI/ML and application engineering in collaboration with its technology partners Databricks.","ecommerce, analytics, IT services, enterprise performance management, corporate performance management, rpa, business inteligence, Ai and ML, anaplan, erp, crm, full stack development, board, tableau, drupal, ui ux development, testing services, etl services, database services","Information Technology & Services","Private"
"TCM Infosys, Ltd. is a specialist in enterprise performance management (EPM) and business intelligence (BI) solutions specially designed for the finance team. The Company Uses its OLAP (Online Analytical Processing) technology, a powerful method for multidimensional analysis, users can create customized and ad hoc reports in addition to the full range of functions needed for complete financial performance management.","Business Intelligence, Enterprise Performance Management, Financial Consolidation, Management Reporting, Dashboards, Budgeting, Forecasting, Demand Planning, Scenario Modelling, Predictive Analysis, Strategic Planning, Analysis","Information Services","Private"
"Abaav Software Corp. develops and supports the Abaav Performance software application a Sales Performance Management application on the Salelesforce.com AppExhange.  Scorecards, competitions, TV broadcasts, and email alerts.","Sales Ops, Salesforce Sales Cloud, Software, Salesforce ISV Partner, APEX, VisualForce, Salesforce, Sales Operations, Activity Management","Internet, Information Technology & Services, Computer Software","Private"
"eVerge Group, Inc. provides business applications software for commercial and public sector markets. The company delivers services for the implementation, integration, and support of enterprise resource planning, customer relationship management, business intelligence, master data management, enterprise performance management solutions; and consulting services.","Business Intelligence, Enterprise Resource Planning, Customer Experience, Human Capital Management, Oracle, Informatica, Salesforce, ADP, Collibra, Enterprise Information Management, Reltio","Computer Software, Information Technology & Services","Private"
"SeeEverything is an enterprise application that provides coaching and performance software solutions for financial institutions. Its performance improvement solution improves customer engagement, increases sales and service performance, and drives successful front-line and management behaviors.","financial services, sales & service performance, conduct risk management, enterprise software, customer engagement, employee engagement, change management, analytics, saas, observational coaching","Information Technology & Services, Human Resources, Staffing, & Recruiting, Management Consulting, Computer Software","Private"
"Oxial Holding AG  is a leading provider and vendor of web-based Governance, Risk, and Compliance (GRC) software and on-demand service solutions for large, middle and small organizations from a multitude of sectors. It offers a platform that manages the entire control's lifecycle and continually calculates and projects the net risk for each control, consolidating by risk type, and reporting up through real-time dashboards.","Software Editor, Operational Risk, Risk, Governance, Compliance, Audit and Control Management, Regtech, Digital Compliance, Grc, Grc Solutions, Grc Tools, Risk Management, Organization Management, Compliance Solutions, Grc Software, Government Risk and Compliance Company, Gdpr Compliance Software, Enterprise Risk Management Software, Risk Management Software, Compliance Software, Operational Risk Management Tools, Audit Management System","Computer Software, Internet","Venture Capital"
"SynApps Solutions, Ltd. is an independent services and solutions company specializing in Enterprise Content Management (ECM) technologies. It provides software, consultancy, implementation, and support services for Alfresco, OpenText Documentum, and M-Files and has authored a suite of content integration, and migration solutions, ConXApps, that allow businesses to quickly maximize investment in ECM technologies.","Information Management, Enterprise Content Management, Social and Collaboration, System Integration, Business Consulting, Implementation and Support Services, Outsourcing Services, Hosted and Cloud Solutions","Computer Software, Internet, Information Technology & Services","Private"
"GoLiveSystems, Inc. is a consulting firm focused on delivering Oracle EPM and Analytics Cloud and legacy Hyperion Enterprise Performance Management solutions to its clients, it helps achieve superior value from its Performance Management and Business Intelligence investments. It offers its GoLive OnDemand hosted EPM environment providing the latest EPM applications to fit the needs.","Software and Technical Consulting, Software","Information Technology & Services","Private"
"Sons India Software Pvt., Ltd. holding seminars on SAP Enterprise Performance Management (EPM), a set of tools, applications, and processes. It help companies control and manage its business and operational performance.","SAP Business All-in-One, SAP ERP Financials, Supply Chain Management","","Private"
"Thirdware Solution, Inc. is an IT consulting organization. The company specializes in providing solutions and services in the consulting, design, development, implementation, and support of packaged solutions which cover areas like Robotic Process Automation (RPA), Enterprise Resource Planning (ERP), Enterprise Performance Management (EPM), Customer Relationship Management (CRM), Supply Chain Management (SCM), Business Intelligence and Analytics (BIA), Data-warehousing and Technologies (Java/J2EE, Microsoft Products and Force.com).","sap, oracle, hyperion, qad, salesforce, robotic process automation, automation anywhere, enterprise resource planning, business process management, business intelligence, enterprise performance management, analytics, computer hardware, software, computer hardware development","Information Technology & Services","Venture Capital"
